duration,weekday,hour,organization,max_participants,registered_count,attended_count,reward_ratio,tag_קהילה,tag_נגישות,tag_משפחות,tag_קשישים,tag_ילדים,tag_נוער,tag_חינוך,tag_פיזי,tag_גיוס,tag_אריזה,tag_מטבח,tag_בריאות,tag_עזרה ראשונה,tag_בעלי חיים,tag_סביבה,tag_טכנולוגיה,tag_אירועים,tag_תרומות,tag_צבא
150,2,12,לתת,29,24,21,0.45,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
180,1,17,לתת,20,8,8,0.7,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
180,5,10,לב אחד,23,18,18,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
90,6,9,לתת,7,2,2,0.55,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
90,3,10,נובה,8,4,4,0.55,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
60,6,13,יד שרה,11,7,4,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
120,4,20,יד שרה,28,18,15,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
180,4,9,גדולים מהחיים,9,7,7,0.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,2,10,יד שרה,19,11,11,0.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
150,5,18,גדולים מהחיים,24,17,17,0.45,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
180,1,17,יד שרה,5,3,1,0.7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
120,3,16,לב אחד,20,12,12,0.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
90,6,19,לב אחד,11,7,3,0.65,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
150,1,16,גדולים מהחיים,11,3,3,0.85,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
180,5,11,יד שרה,17,14,12,0.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,0,12,יד שרה,18,10,9,0.55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150,0,9,לב אחד,8,6,6,0.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,3,20,יד שרה,12,5,2,1.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
90,5,12,לתת,14,5,2,0.75,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
60,2,12,נובה,26,16,13,0.3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
180,5,10,יד שרה,29,21,17,0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,18,יד שרה,7,4,3,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
180,3,9,גדולים מהחיים,14,6,6,0.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,5,14,גדולים מהחיים,26,13,12,0.65,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
90,4,17,נובה,20,11,7,0.75,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
180,5,20,נובה,17,15,12,0.6,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
120,4,20,לב אחד,28,11,11,0.9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
60,0,13,לב אחד,17,13,11,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
120,5,16,לתת,24,11,11,0.6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,0,13,לתת,17,13,12,0.3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,6,19,גדולים מהחיים,13,6,4,0.95,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
90,6,9,לב אחד,9,5,5,0.35,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
120,0,13,יד שרה,28,19,18,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6,17,נובה,9,7,6,0.3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
90,5,12,לב אחד,26,21,19,0.35,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
150,4,9,יד שרה,12,7,3,0.85,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60,5,13,לתת,9,6,4,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
60,6,14,נובה,22,11,11,0.5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,6,8,לתת,5,3,2,0.45,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
180,0,20,לב אחד,20,12,10,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
150,3,10,לב אחד,13,5,1,0.85,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
90,3,18,לב אחד,27,20,17,0.35,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,5,8,לתת,28,20,20,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,6,13,יד שרה,20,12,12,0.55,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
90,0,10,לב אחד,8,3,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
150,5,12,נובה,9,8,6,0.45,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
60,2,17,לתת,17,11,10,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,5,18,יד שרה,11,11,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
90,2,14,לב אחד,5,1,1,0.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
180,0,13,גדולים מהחיים,12,8,6,0.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
120,2,15,לתת,17,10,10,0.4,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
150,0,13,נובה,25,18,18,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
90,6,19,גדולים מהחיים,11,5,2,0.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
180,4,13,לב אחד,27,21,20,0.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
60,4,14,לב אחד,5,0,0,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,5,19,לתת,24,17,17,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,5,16,יד שרה,23,13,9,0.8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,0,8,לתת,11,4,2,0.9,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
120,6,12,לתת,28,18,14,0.4,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
150,1,20,יד שרה,6,6,6,0.55,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
90,1,12,נובה,15,5,4,0.75,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
90,5,8,נובה,30,15,14,0.65,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
60,4,19,יד שרה,16,8,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
150,5,16,נובה,24,6,3,0.85,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
180,5,16,גדולים מהחיים,21,12,10,0.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
60,5,16,נובה,30,20,19,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
120,4,13,לב אחד,15,12,12,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,3,19,יד שרה,17,7,5,0.95,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
120,2,14,נובה,21,12,10,0.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,2,18,גדולים מהחיים,25,16,16,0.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
90,4,18,יד שרה,13,10,6,0.35,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
60,5,10,נובה,22,19,13,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
120,5,17,לתת,11,4,3,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
90,3,12,לתת,12,9,9,0.35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
120,4,17,נובה,6,3,3,0.6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
150,3,8,לב אחד,7,5,2,0.75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,1,8,לב אחד,19,5,4,0.95,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
90,0,10,נובה,5,0,0,0.55,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
120,2,18,יד שרה,21,18,14,0.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
60,3,14,יד שרה,26,23,23,0.3,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
90,1,16,לב אחד,27,17,16,0.55,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
90,6,19,לתת,28,20,17,0.45,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
150,1,9,לב אחד,28,23,23,0.45,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
60,1,19,לתת,14,11,8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
120,3,16,נובה,19,15,12,0.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
150,6,10,לב אחד,28,15,14,0.65,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
120,6,8,לב אחד,20,17,16,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
120,4,20,לב אחד,6,1,1,0.9,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
90,5,15,נובה,5,2,0,0.55,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
60,3,8,לתת,29,27,20,0.4,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
120,2,18,לב אחד,16,6,6,0.8,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
180,2,14,נובה,25,9,9,0.9,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
180,1,13,גדולים מהחיים,25,9,9,0.9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
150,6,16,יד שרה,20,11,11,0.45,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
150,0,11,לב אחד,29,24,22,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
120,0,8,נובה,21,10,8,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,1,16,נובה,20,17,13,0.45,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
150,1,10,לב אחד,30,13,11,0.85,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
60,4,15,לב אחד,7,2,0,0.7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
60,1,9,לתת,13,7,5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
180,2,10,יד שרה,26,17,14,0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,10,גדולים מהחיים,9,4,1,0.55,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
120,1,18,לתת,29,12,10,0.8,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120,2,13,לב אחד,5,3,1,0.6,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
150,0,11,גדולים מהחיים,11,6,5,0.45,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,4,14,לתת,26,12,11,0.6,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
90,1,14,גדולים מהחיים,23,11,11,0.55,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
180,4,17,גדולים מהחיים,12,8,7,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
60,1,10,לב אחד,27,22,13,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
90,4,18,יד שרה,30,23,19,0.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
180,4,16,לתת,21,19,17,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,1,14,לתת,10,5,4,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
120,4,8,נובה,6,3,3,0.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
150,5,19,יד שרה,26,18,14,0.55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,4,8,גדולים מהחיים,23,12,12,0.6,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
90,0,9,לתת,21,9,7,0.75,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
180,6,9,לב אחד,17,10,10,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,3,11,גדולים מהחיים,25,19,17,0.35,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
120,5,18,נובה,28,18,13,0.4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,16,גדולים מהחיים,12,8,4,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
90,4,20,לב אחד,12,8,7,0.45,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
150,1,9,לב אחד,16,6,5,0.85,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
90,0,20,נובה,8,6,1,0.65,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
120,2,15,לתת,18,12,12,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
180,5,10,לתת,24,18,16,0.5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,2,12,לב אחד,8,3,1,0.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
180,5,14,נובה,10,5,5,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,0,19,גדולים מהחיים,7,5,2,0.75,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
60,0,14,גדולים מהחיים,13,7,7,0.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
180,0,9,לתת,11,8,7,0.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3,15,גדולים מהחיים,16,11,10,0.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,4,17,לתת,9,5,2,0.6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,6,19,לב אחד,14,9,8,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
180,1,16,נובה,19,10,7,0.7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,6,16,יד שרה,17,11,11,0.35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
60,6,19,גדולים מהחיים,27,17,16,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
180,1,12,נובה,24,13,13,0.7,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
60,0,14,לתת,8,6,6,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
60,5,14,גדולים מהחיים,12,9,6,0.3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
120,2,9,לתת,30,24,19,0.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60,2,13,נובה,19,12,12,0.5,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
90,4,10,גדולים מהחיים,22,19,14,0.35,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
120,5,13,לתת,28,19,13,0.4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
150,4,10,נובה,16,10,10,0.45,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
60,6,13,לב אחד,29,18,18,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
180,6,9,נובה,25,12,12,0.7,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
90,0,9,נובה,15,5,3,0.75,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
150,0,12,נובה,19,14,10,0.45,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
60,4,9,לתת,26,23,21,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,6,15,גדולים מהחיים,15,10,5,0.55,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
150,5,8,נובה,13,12,12,0.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
150,0,8,נובה,23,11,10,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
150,0,19,יד שרה,16,9,9,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,1,9,גדולים מהחיים,28,18,14,0.4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
180,2,19,נובה,7,5,5,0.6,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,5,13,גדולים מהחיים,16,8,8,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,5,11,גדולים מהחיים,17,9,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
150,1,13,גדולים מהחיים,26,18,15,0.45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,4,19,לב אחד,8,1,1,0.8,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
120,1,10,גדולים מהחיים,14,13,13,0.4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
120,4,8,לב אחד,19,10,7,0.9,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
90,1,12,לב אחד,5,5,1,0.55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
90,4,16,יד שרה,12,5,5,0.35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,1,14,נובה,11,2,2,0.8,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
90,5,14,לב אחד,6,2,2,0.75,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
120,0,9,נובה,6,4,1,0.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
120,2,16,יד שרה,9,2,0,0.8,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
90,5,20,יד שרה,25,18,13,0.45,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,0,20,גדולים מהחיים,7,2,2,0.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150,4,13,לתת,23,17,15,0.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
180,0,20,לתת,21,14,13,0.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
180,2,18,לב אחד,19,10,8,0.7,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
150,0,8,לתת,9,2,1,0.75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
180,2,17,לתת,28,20,19,0.5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
180,2,16,לב אחד,26,13,12,0.7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
120,1,14,לב אחד,7,3,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,5,20,נובה,13,4,1,0.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
150,2,18,גדולים מהחיים,9,9,6,0.45,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150,1,12,יד שרה,23,18,13,0.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
120,5,8,לב אחד,14,6,4,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
